player_name,team_abbreviation,points,rebounds,assists,net_rating,season
0,Dennis Rodman,CHI,5.7,16.1,3.1,16.1,1996-97
1,Dwayne Schintzius,LAC,2.3,1.5,0.3,12.3,1996-97
2,Earl Cureton,TOR,0.8,1.0,0.4,-2.1,1996-97
3,Ed O'Bannon,DAL,3.7,2.3,0.6,-8.7,1996-97
4,Ed Pinckney,MIA,2.4,2.4,0.2,-11.2,1996-97
5,Eddie Johnson,HOU,8.2,2.7,1.0,4.1,1996-97
6,Eddie Jones,LAL,17.2,4.1,3.4,4.1,1996-97
7,Elden Campbell,LAL,14.9,8.0,1.6,3.3,1996-97
8,Eldridge Recasner,ATL,5.7,1.6,1.3,-0.3,1996-97
9,Elliot Perry,MIL,6.9,1.5,3.0,-1.2,1996-97
10,Elmer Bennett,DEN,2.4,0.4,1.2,-7.4,1996-97
11,Elmore Spencer,SEA,0.0,0.0,0.0,-147.5,1996-97
12,Emanual Davis,HOU,5.0,1.7,2.0,6.6,1996-97
13,Ennis Whatley,POR,1.3,1.0,1.0,-57.4,1996-97
14,Eric Leckner,VAN,1.7,1.8,0.3,-3.9,1996-97
15,Eric Mobley,VAN,2.6,2.1,0.5,-15.4,1996-97
16,Eric Montross,NJN,4.4,6.6,0.8,-6.6,1996-97
17,Eric Murdock,DEN,3.8,0.9,2.0,-1.4,1996-97
18,Eric Piatkowski,LAC,6.0,1.6,0.8,2.4,1996-97
19,Eric Snow,SEA,3.0,1.0,2.4,-1.2,1996-97
20,Eric Williams,BOS,15.0,4.6,1.8,-6.8,1996-97
21,Erick Dampier,IND,5.1,4.1,0.6,-2.0,1996-97
22,Erick Strickland,DAL,10.6,3.2,2.4,-6.4,1996-97
23,Ervin Johnson,DEN,7.1,11.1,0.9,-5.9,1996-97
24,Duane Ferrell,IND,6.4,2.3,1.1,2.3,1996-97
25,Duane Causwell,SAC,2.6,2.8,0.4,-11.8,1996-97
26,Doug West,MIN,7.8,2.2,1.7,-3.1,1996-97
27,Doug Overton,PHI,3.6,1.1,1.7,-1.3,1996-97
28,Dell Demps,ORL,1.0,0.0,0.0,-53.7,1996-97
29,Dennis Scott,ORL,12.5,3.1,2.1,1.9,1996-97
30,Derek Fisher,LAL,3.9,1.2,1.5,5.1,1996-97
31,Derek Harper,DAL,10.0,1.8,4.3,-7.7,1996-97
32,Derek Strong,ORL,8.5,6.3,0.9,-0.7,1996-97
33,Derrick Alston,ATL,0.0,2.0,0.0,-39.9,1996-97
34,Derrick Coleman,PHI,18.1,10.1,3.4,-5.4,1996-97
35,Derrick McKey,IND,8.0,4.8,2.7,-0.2,1996-97
36,Detlef Schrempf,SEA,16.8,6.5,4.4,12.2,1996-97
37,Devin Gray,SAS,3.0,2.3,0.3,-42.1,1996-97
38,Dexter Boney,PHX,2.4,0.8,0.0,-19.6,1996-97
39,Evric Gray,NJN,2.6,0.6,0.4,17.5,1996-97
40,Dickey Simpkins,CHI,1.9,1.9,0.6,-0.9,1996-97
41,Dino Radja,BOS,14.0,8.4,1.9,-3.3,1996-97
42,Dominique Wilkins,SAS,18.2,6.4,1.9,-10.3,1996-97
43,Don MacLean,PHI,10.9,3.8,1.0,-5.9,1996-97
44,Don Reid,DET,2.8,2.1,0.3,-1.5,1996-97
45,Donald Royal,CHH,3.5,2.5,0.4,-4.6,1996-97
46,Donald Whiteside,TOR,2.2,0.4,1.3,-12.4,1996-97
47,Donnie Boyce,ATL,2.5,0.7,0.6,-10.3,1996-97
48,Donny Marshall,CLE,3.1,1.3,0.4,-8.7,1996-97
49,Dontonio Wingfield,POR,4.5,2.9,1.0,1.3,1996-97
50,Donyell Marshall,GSW,7.3,4.5,0.9,-8.6,1996-97
51,Doug Christie,TOR,14.5,5.3,3.9,-2.6,1996-97
52,Dikembe Mutombo,ATL,13.3,11.6,1.4,8.1,1996-97
53,Dell Curry,CHH,14.8,3.1,1.7,1.6,1996-97
54,Felton Spencer,GSW,5.1,5.7,0.3,-1.2,1996-97
55,Frankie King,PHI,2.9,2.0,0.7,1.4,1996-97
56,Horacio Llamas,PHX,1.7,0.9,0.2,11.5,1996-97
57,Hot Rod Williams,PHX,8.0,8.3,1.5,4.3,1996-97
58,Howard Eisley,UTA,4.5,1.0,2.4,2.5,1996-97
59,Hubert Davis,TOR,5.0,1.1,0.9,-3.3,1996-97
60,Ike Austin,MIA,9.7,5.8,1.2,2.9,1996-97
61,Isaiah Rider,POR,16.1,4.0,2.6,3.4,1996-97
62,Ivano Newbill,ATL,1.4,2.8,0.3,2.5,1996-97
63,Jack Haley,NJN,2.0,1.6,0.3,5.0,1996-97
64,Jalen Rose,IND,7.3,1.8,2.3,1.3,1996-97
65,Jamal Mashburn,MIA,11.9,4.3,2.9,1.4,1996-97
66,James Robinson,MIN,8.3,1.6,1.8,-2.7,1996-97
67,James Scott,MIA,0.1,0.8,0.4,-14.7,1996-97
68,Jamie Feick,SAS,3.7,5.2,0.6,-12.2,1996-97
69,Jamie Watson,DAL,3.4,2.0,1.4,-7.8,1996-97
70,Jaren Jackson,WAS,5.0,1.8,0.9,1.7,1996-97
71,Jason Caffey,CHI,7.3,4.0,1.2,9.0,1996-97
72,Jason Kidd,PHX,10.9,4.5,9.0,2.4,1996-97
73,Jason Sasser,DAL,2.4,1.0,0.3,-24.2,1996-97
74,Jayson Williams,NJN,13.4,13.5,1.2,-8.8,1996-97
75,Jeff Grayer,SAC,3.6,1.5,1.0,0.7,1996-97
76,Jeff Hornacek,UTA,14.5,2.9,4.4,14.4,1996-97
77,Jeff McInnis,DEN,5.0,0.5,1.4,-17.8,1996-97
78,Jermaine O'Neal,POR,4.1,2.8,0.2,1.3,1996-97
79,Horace Grant,ORL,12.6,9.0,2.4,1.1,1996-97
80,Hersey Hawkins,SEA,13.9,3.9,3.0,10.3,1996-97
81,Herb Williams,NYK,1.9,1.5,0.2,-10.8,1996-97
82,Henry James,ATL,6.7,1.5,0.4,1.2,1996-97
83,Fred Roberts,DAL,1.8,0.8,0.0,-13.1,1996-97
84,Gary Grant,MIA,3.9,1.4,1.6,3.2,1996-97
85,Gary Payton,SEA,21.8,4.6,7.1,10.3,1996-97
86,Gary Trent,POR,10.8,5.2,1.1,2.5,1996-97
87,Gaylon Nickerson,WAS,3.8,1.3,0.3,8.9,1996-97
88,George Lynch,VAN,8.3,6.4,1.9,-8.2,1996-97
89,George McCloud,LAL,10.2,2.8,1.7,-2.7,1996-97
90,George Zidek,DEN,2.8,1.7,0.3,-14.1,1996-97
91,Gerald Wilkins,ORL,10.6,2.2,2.2,-5.8,1996-97
92,Gheorghe Muresan,WAS,10.6,6.6,0.4,6.9,1996-97
93,Glen Rice,CHH,26.8,4.0,2.0,3.2,1996-97
94,Frank Brickowski,BOS,4.8,2.0,0.9,-22.4,1996-97
95,Glenn Robinson,MIL,21.1,6.3,3.1,-2.9,1996-97
96,Grant Long,DET,5.0,3.4,0.6,4.0,1996-97
97,Greg Anderson,SAS,3.9,5.5,0.4,-14.2,1996-97
98,Greg Anthony,VAN,9.5,2.8,6.3,-9.4,1996-97
99,Greg Dreiling,DAL,2.0,1.9,0.3,-8.0,1996-97
100,Greg Foster,UTA,3.5,2.4,0.4,-0.9,1996-97
101,Greg Graham,SEA,3.3,0.5,0.4,3.6,1996-97
102,Greg Minor,BOS,9.6,3.5,1.5,-2.1,1996-97
103,Greg Ostertag,UTA,7.3,7.3,0.4,15.9,1996-97
104,Hakeem Olajuwon,HOU,23.2,9.2,3.0,6.5,1996-97
105,Harvey Grant,WAS,4.1,3.3,0.9,1.7,1996-97
106,Haywoode Workman,IND,5.5,1.8,2.8,-7.3,1996-97
107,Grant Hill,DET,21.4,9.0,7.3,6.9,1996-97
108,Dee Brown,BOS,7.6,2.3,3.2,-7.5,1996-97
109,Dean Garrett,MIN,8.0,7.3,0.6,1.2,1996-97
110,David Wood,MIL,1.2,0.6,0.3,3.9,1996-97
111,Ashraf Amaya,WAS,1.3,1.7,0.1,-8.6,1996-97
112,Avery Johnson,SAS,10.5,1.9,6.8,-8.6,1996-97
113,B.J. Armstrong,GSW,7.9,1.5,2.6,-6.5,1996-97
114,Ben Davis,PHX,1.5,1.4,0.0,-0.4,1996-97
115,Ben Wallace,WAS,1.1,1.7,0.1,-3.5,1996-97
116,Benoit Benjamin,TOR,3.3,2.3,0.3,-9.1,1996-97
117,Bill Wennington,CHI,4.6,2.1,0.7,7.7,1996-97
118,Billy Owens,SAC,11.0,5.9,2.8,-3.0,1996-97
119,Bimbo Coles,GSW,6.1,2.3,2.9,-6.3,1996-97
120,Bison Dele,CHI,7.0,3.7,1.3,0.9,1996-97
121,Blue Edwards,VAN,7.8,3.1,1.9,-11.1,1996-97
122,Bo Outlaw,LAC,7.6,5.5,1.9,4.0,1996-97
123,Bob Sura,CLE,9.2,3.8,4.8,1.0,1996-97
124,Bobby Hurley,SAC,2.9,0.8,3.0,-2.6,1996-97
125,Bobby Phills,CLE,12.6,3.6,3.4,3.3,1996-97
126,Brad Lohaus,TOR,1.7,1.2,0.2,-38.4,1996-97
127,Brent Barry,LAC,7.5,1.9,2.6,4.1,1996-97
128,Brent Price,HOU,5.0,1.2,2.6,2.9,1996-97
129,Brent Scott,IND,1.2,0.6,0.2,4.9,1996-97
130,Brett Szabo,BOS,2.2,2.4,0.2,-11.1,1996-97
131,Brian Evans,ORL,1.4,0.6,0.5,-12.5,1996-97
132,Brian Grant,SAC,10.5,5.9,1.2,-7.7,1996-97
133,Brian Shaw,ORL,7.2,2.5,4.1,-10.5,1996-97
134,Arvydas Sabonis,POR,13.4,7.9,2.1,8.1,1996-97
135,Armen Gilliam,MIL,8.6,6.2,0.7,-3.7,1996-97
136,Antonio McDyess,DEN,18.3,7.3,1.4,-7.5,1996-97
137,Antonio Lang,CLE,2.7,2.0,0.5,0.7,1996-97
138,A.C. Green,DAL,7.2,7.9,0.8,-8.0,1996-97
139,Aaron McKie,DET,5.2,2.7,1.9,5.2,1996-97
140,Aaron Williams,VAN,6.2,4.3,0.5,-8.3,1996-97
141,Acie Earl,MIL,4.0,2.0,0.4,-6.4,1996-97
142,Adam Keefe,UTA,3.8,3.5,0.5,6.7,1996-97
143,Adrian Caldwell,PHI,2.2,3.7,0.3,-6.2,1996-97
144,Alan Henderson,ATL,6.6,3.9,0.8,-9.7,1996-97
145,Aleksandar Djordjevic,POR,3.1,0.6,0.6,4.8,1996-97
146,Allan Houston,NYK,14.8,3.0,2.2,2.9,1996-97
