age,college,draft_year,draft_round,draft_number,player_name,player_height,team_abbreviation
0,36.0,Southeastern Oklahoma State,1986,2,27,Dennis Rodman,198.12,CHI
1,28.0,Florida,1990,1,24,Dwayne Schintzius,215.9,LAC
2,39.0,Detroit Mercy,1979,3,58,Earl Cureton,205.74,TOR
3,24.0,UCLA,1995,1,9,Ed O'Bannon,203.2,DAL
4,34.0,Villanova,1985,1,10,Ed Pinckney,205.74,MIA
5,38.0,Illinois,1981,2,29,Eddie Johnson,200.66,HOU
6,25.0,Temple,1994,1,10,Eddie Jones,198.12,LAL
7,28.0,Clemson,1990,1,27,Elden Campbell,213.36,LAL
8,29.0,Washington,1992,Undrafted,Undrafted,Eldridge Recasner,193.04,ATL
9,28.0,Memphis,1991,2,37,Elliot Perry,182.88,MIL
10,27.0,Notre Dame,1992,2,38,Elmer Bennett,182.88,DEN
11,27.0,Nevada-Las Vegas,1992,1,25,Elmore Spencer,213.36,SEA
12,28.0,Delaware State,Undrafted,Undrafted,Undrafted,Emanual Davis,195.58,HOU
13,34.0,Alabama,1983,1,13,Ennis Whatley,190.5,POR
14,31.0,Wyoming,1988,1,17,Eric Leckner,210.82,VAN
15,27.0,Pittsburgh,1994,1,18,Eric Mobley,210.82,VAN
16,25.0,North Carolina,1994,1,9,Eric Montross,213.36,NJN
17,29.0,Providence,1991,1,21,Eric Murdock,185.42,DEN
18,26.0,Nebraska,1994,1,15,Eric Piatkowski,200.66,LAC
19,24.0,Michigan State,1995,2,43,Eric Snow,190.5,SEA
20,24.0,Providence,1995,1,14,Eric Williams,203.2,BOS
21,21.0,Mississippi State,1996,1,10,Erick Dampier,210.82,IND
22,23.0,Nebraska,Undrafted,Undrafted,Undrafted,Erick Strickland,190.5,DAL
23,29.0,New Orleans,1993,1,23,Ervin Johnson,210.82,DEN
24,32.0,Georgia Tech,Undrafted,Undrafted,Undrafted,Duane Ferrell,200.66,IND
25,29.0,Temple,1990,1,18,Duane Causwell,213.36,SAC
